cruise	Year	Month	Instrument	tcut1	tcut1_gt_lt	tcut2	tcut2_gt_lt	lim1_1	lim1_2	lim2_1	lim2_2	fact.sd2	lim3_1	lim3_2	fact.sd3	lim4_1	lim4_2	lim5_1	lim5_2	fact.sd5	lim6_1	lim6_2	fact.sd6	lim7_1	lim7_2	fact.sd7	fact.sd8	spar.8	Comment
CMOP_3	2010	May	740	NA	NA	NA	NA	11.95	12.05	200	18000	4	0	3000000	4	30	500	0.005	0.05	5	0.3	6	6	0.5	2.3	5	9	0	
DeepDOM	2013	March 	989	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.4	0.9	6	0.7	1.4	5	8	missing	
GP15_1	2018	October	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	3500000	4	160	1000	0.00003	0.03	5	0.35	1.3	6	0.7	2.3	5	8	0	
GP15_2	2018	November	751	NA	NA	NA	NA	11.95	12.05	2000	18000	3	0	3500000	3	300	1500	0.0002	0.012	5	0.35	0.9	6	0.7	2.3	5	8	0	
HOT-294	2017	June	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	4	missing	
HOT297	2017	November	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	500000	2500000	4	300	3500	0.0005	0.1	5	0.35	0.9	6	0.57	1.4	5	8	missing	
HOT299	2018	January	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.009	0.017	5	0.3	0.6	6	0.65	1.4	5	8	missing	
HOT300	2018	February	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.0005	0.1	5	0.3	0.9	6	0.65	1.45	5	8	missing	
HOT301	2018	April	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.0005	0.1	5	0.3	0.9	6	0.6	1.5	5	8	missing	
HOT302	2018	May	751	NA	NA	NA	NA	11.95	12.05	6000	18000	4	1000000	2200000	4	300	3500	0.0005	0.1	5	0.3	0.6	6	0.6	1.5	5	4	missing	
HOT303	2018	June	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.0075	0.1	2	0.35	0.9	6	0.6	1.4	5	8	missing	
HOT304	2018	July	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.008	0.02	5	0.35	0.9	6	0.6	1.4	5	8	missing	
HOT307	2018	November	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.005	0.1	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT308	2018	December	740	NA	NA	NA	NA	11.95	12.05	2000	18000	3	0	3500000	3	300	1500	0.009	0.02	5	0.35	0.9	6	0.7	2.3	5	8	0	
HOT309	2019	January	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.003	0.05	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT310	2019	February	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	1000000	4	330	3500	0.003	0.0145	2	0.54	0.9	6	0.7	1.4	5	4	missing	
HOT312	2019	June	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.0005	0.009	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT313	2019	July	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.005	0.03	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT314	2019	August	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.002	0.05	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT315	2019	September	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.002	0.05	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT317	2019	December	740v2	NA	NA	NA	NA	11.95	12.05	2000	18000	3	0	5000000	4	300	3500	0.01	0.05	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT318	2020	January	740v2	NA	NA	NA	NA	11.95	12.05	2000	15000	4	0	1700000	4	300	3500	0.015	0.05	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT319	2020	February	740v2	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.02	0.05	5	0.35	0.9	6	0.7	1.4	5	8	missing	
HOT321	2020	August	740v2	NA	NA	NA	NA	11.95	12.05	8000	18000	2	0	5000000	2	200	3500	0.01	0.05	2.5	0.35	0.9	6	0.7	1.4	5	4	0	
HOT322	2020	August	740v2	NA	NA	NA	NA	11.95	12.05	7500	18000	2	0	5000000	3	200	3500	0.005	0.025	3	0.35	0.9	6	0.7	1.4	5	6	NULL	
HOT323	2020	September	740v2	NA	NA	NA	NA	11.95	12.05	5000	18000	2	0	5000000	2	200	3500	0.02	0.05	3	0.35	0.9	6	0.7	1.4	5	4	NULL	
HOT324	2020	November	740v2	NA	NA	NA	NA	11.95	12.05	5000	18000	2	0	5000000	3	200	3500	0.02	0.05	3	0.35	0.9	6	0.7	1.4	5	5	NULL	
HOT325	2020	December	740v2	NA	NA	NA	NA	11.95	12.05	8000	18000	2	0	5000000	3	250	3500	0.007	0.05	3	0.35	0.9	6	0.7	1.4	5	5	NULL	
HOT326	2021	January	740v2	2021-01-11 17:00	leq	2021-1-15 6:00	geq	11.95	12.05	8000	18000	2	700000	5000000	2	300	3500	0.01	0.05	3	0.35	0.9	4	0.7	1.4	3	4	0.2	
HOT328	2021	March	740v2	NA	NA	NA	NA	11.95	12.05	7000	18000	4	0	5000000	4	200	1000	0.005	0.05	5	0.35	0.9	6	0.7	1.4	6	10	NULL	
HOT329	2021	April	740v2	NA	NA	NA	NA	11.95	12.05	6000	18000	4	0	5000000	4	100	1000	0.003	0.03	5	0.35	0.9	6	0.7	1.4	6	10	NULL	
HOT330	2021	May	740v2	NA	NA	NA	NA	11.95	12.05	6000	18000	4	0	5000000	4	100	1000	0.002	0.03	5	0.35	0.9	6	0.7	1.4	6	10	NULL	
